,Bill,annual_bill_number,year,url
2131,"Dún Laoghaire Harbour Act, 1990",16,1989,https://www.oireachtas.ie/en/bills/bill/1989/16/
2132,"Criminal Justice (Forensic Evidence) Act, 1990",13,1989,https://www.oireachtas.ie/en/bills/bill/1989/13/
2133,"Derelict Sites Act, 1990",/5,/198,https://www.oireachtas.ie/en/bills/bill/1989/5/
2134,"Firearms and Offensive Weapons Act, 1990",/2,/198,https://www.oireachtas.ie/en/bills/bill/1989/2/
2135,"Local Government (Water Pollution)(Amendment) Act, 1990",/1,/198,https://www.oireachtas.ie/en/bills/bill/1989/1/
2136,"Criminal Law (Rape)(Amendment) Act, 1990",36,1988,https://www.oireachtas.ie/en/bills/bill/1988/36/
2137,"Turf Development Act, 1990",30,1988,https://www.oireachtas.ie/en/bills/bill/1988/30/
2138,"Local Government (Planning and Development) Act, 1990",29,1988,https://www.oireachtas.ie/en/bills/bill/1988/29/
2139,"Companies Act, 1990",10,1987,https://www.oireachtas.ie/en/bills/bill/1987/10/
2140,"Horse Breeding Act, 1990",40,1985,https://www.oireachtas.ie/en/bills/bill/1985/40/
2141,"Building Control Act, 1990",/3,/198,https://www.oireachtas.ie/en/bills/bill/1984/3/
2142,"Appropriation Act, 1991",45,1991,https://www.oireachtas.ie/en/bills/bill/1991/45/
2143,"Electoral Act, 1992",44,1991,https://www.oireachtas.ie/en/bills/bill/1991/44/
2144,"International Law (Rights of Persons with a Mental Handicap) Bill, 1991",43,1991,https://www.oireachtas.ie/en/bills/bill/1991/43/
2145,"Oireachtas (Allowances to Members) and Ministerial and Parliamentary Offices (Amendment) Act, 1992",42,1991,https://www.oireachtas.ie/en/bills/bill/1991/42/
2146,"Industrial Development (Amendment) Act, 1991",41,1991,https://www.oireachtas.ie/en/bills/bill/1991/41/
2147,"Milk (Regulation of Supply)(No. 2) Bill, 1991",40,1991,https://www.oireachtas.ie/en/bills/bill/1991/40/
2148,"B &amp; I Line Act, 1991",39,1991,https://www.oireachtas.ie/en/bills/bill/1991/39/
2149,"Merchant Shipping Act, 1992",38,1991,https://www.oireachtas.ie/en/bills/bill/1991/38/
2150,"Land Bond Act, 1992",37,1991,https://www.oireachtas.ie/en/bills/bill/1991/37/
2151,"Interception of Postal Packets and Telecommunications Messages (Regulation) Bill, 1991",36,1991,https://www.oireachtas.ie/en/bills/bill/1991/36/
2152,"Wildlife Bill, 1991",35,1991,https://www.oireachtas.ie/en/bills/bill/1991/35/
2153,"Register of Members of the Oireachtas Interests Bill, 1991",34,1991,https://www.oireachtas.ie/en/bills/bill/1991/34/
2154,"Local Government (Planning and Development) Act, 1992",33,1991,https://www.oireachtas.ie/en/bills/bill/1991/33/
2155,"Control of Dogs (Amendment) Act, 1992",32,1991,https://www.oireachtas.ie/en/bills/bill/1991/32/
2156,"Solicitors (Amendment) Bill, 1991",31,1991,https://www.oireachtas.ie/en/bills/bill/1991/31/
2157,"Education Bill, 1991",30,1991,https://www.oireachtas.ie/en/bills/bill/1991/30/
2158,"Health (Family Planning)(Amendment) Bill, 1991",29,1991,https://www.oireachtas.ie/en/bills/bill/1991/29/
2159,"Milk (Regulation of Supply) Bill, 1991",28,1991,https://www.oireachtas.ie/en/bills/bill/1991/28/
2160,"Patents Act, 1992",27,1991,https://www.oireachtas.ie/en/bills/bill/1991/27/
2161,"Temple Bar Area Renewal and Development Act, 1991",26,1991,https://www.oireachtas.ie/en/bills/bill/1991/26/
2162,"Trade and Marketing Promotion Act, 1991",25,1991,https://www.oireachtas.ie/en/bills/bill/1991/25/
2163,"Eleventh Amendment of the Constitution (No. 4) Bill, 1991",24,1991,https://www.oireachtas.ie/en/bills/bill/1991/24/
2164,"Regional Technical Colleges Act, 1992",23,1991,https://www.oireachtas.ie/en/bills/bill/1991/23/
2165,"Dublin Institute of Technology Act, 1992",22,1991,https://www.oireachtas.ie/en/bills/bill/1991/22/
2166,"Suicide Bill, 1991",21,1991,https://www.oireachtas.ie/en/bills/bill/1991/21/
2167,"Courts Act, 1991",20,1991,https://www.oireachtas.ie/en/bills/bill/1991/20/
2168,"Courts (No. 2) Act, 1991",19,1991,https://www.oireachtas.ie/en/bills/bill/1991/19/
2169,"Electoral Bill, 1991",18,1991,https://www.oireachtas.ie/en/bills/bill/1991/18/
2170,"Payment of Wages Act, 1991",17,1991,https://www.oireachtas.ie/en/bills/bill/1991/17/
2171,"Health (Amendment) Act, 1991",16,1991,https://www.oireachtas.ie/en/bills/bill/1991/16/
2172,"University of Limerick (Dissolution of Thomond College) Act, 1991",15,1991,https://www.oireachtas.ie/en/bills/bill/1991/15/
2173,"Statute of Limitations (Amendment) Bill, 1991",14,1991,https://www.oireachtas.ie/en/bills/bill/1991/14/
2174,"Local Government Act, 1991",13,1991,https://www.oireachtas.ie/en/bills/bill/1991/13/
2175,"Roads Act, 1993",12,1991,https://www.oireachtas.ie/en/bills/bill/1991/12/
2176,"Liability for Defective Products Act, 1991",11,1991,https://www.oireachtas.ie/en/bills/bill/1991/11/
2177,"Vocational Education (Amendment) Bill, 1991",10,1991,https://www.oireachtas.ie/en/bills/bill/1991/10/
2178,"Eleventh Amendment of the Constitution (No. 3) Bill, 1991",/9,/199,https://www.oireachtas.ie/en/bills/bill/1991/9/
2179,"Competition Act, 1991",/8,/199,https://www.oireachtas.ie/en/bills/bill/1991/8/
2180,"Finance Act, 1991",/7,/199,https://www.oireachtas.ie/en/bills/bill/1991/7/
2181,"Social Welfare Act, 1991",/6,/199,https://www.oireachtas.ie/en/bills/bill/1991/6/
2182,"Educational Exchange (Ireland and the United States of America) Act, 1991",/5,/199,https://www.oireachtas.ie/en/bills/bill/1991/5/
2183,"Ethics in Government and Public Office Bill, 1991",/4,/199,https://www.oireachtas.ie/en/bills/bill/1991/4/
2184,"Eleventh Amendment of the Constitution Bill, 1991",/3,/199,https://www.oireachtas.ie/en/bills/bill/1991/3/
2185,"Eleventh Amendment of the Constitution (No. 2) Bill, 1991",/2,/199,https://www.oireachtas.ie/en/bills/bill/1991/2/
2186,"Electoral (Amendment) Bill, 1991",/1,/199,https://www.oireachtas.ie/en/bills/bill/1991/1/
2187,"Worker Protection (Regular Part-Time Employees) Act, 1991",49,1990,https://www.oireachtas.ie/en/bills/bill/1990/49/
2188,"Presidential Establishment (Amendment) Act, 1991",48,1990,https://www.oireachtas.ie/en/bills/bill/1990/48/
2189,"Adoption Act, 1991",47,1990,https://www.oireachtas.ie/en/bills/bill/1990/47/
2190,"Sugar Act, 1991",45,1990,https://www.oireachtas.ie/en/bills/bill/1990/45/
2191,"European Bank for Reconstruction and Development Act, 1991",42,1990,https://www.oireachtas.ie/en/bills/bill/1990/42/
2192,"Fisheries (Amendment) Act, 1991",41,1990,https://www.oireachtas.ie/en/bills/bill/1990/41/
2193,"Courts (Supplemental Provisions)(Amendment) Act, 1991",35,1990,https://www.oireachtas.ie/en/bills/bill/1990/35/
2194,"Destructive Insects and Pests (Amendment) Act, 1991",34,1990,https://www.oireachtas.ie/en/bills/bill/1990/34/
2195,"Child Abduction and Enforcement of Custody Orders Act, 1991",33,1990,https://www.oireachtas.ie/en/bills/bill/1990/33/
2196,"Contractual Obligations (Applicable Law) Act, 1991",32,1990,https://www.oireachtas.ie/en/bills/bill/1990/32/
2197,"Criminal Damage Act, 1991",30,1990,https://www.oireachtas.ie/en/bills/bill/1990/30/
2198,"Sea Pollution Act, 1991",22,1990,https://www.oireachtas.ie/en/bills/bill/1990/22/
2199,"Statute of Limitations (Amendment) Act, 1991",17,1990,https://www.oireachtas.ie/en/bills/bill/1990/17/
2200,"Radiological Protection Act, 1991",10,1990,https://www.oireachtas.ie/en/bills/bill/1990/10/
2201,"Marine Institute Act, 1991",34,1989,https://www.oireachtas.ie/en/bills/bill/1989/34/
2202,"Child Care Act, 1991",20,1988,https://www.oireachtas.ie/en/bills/bill/1988/20/
2203,"Appropriation Act, 1992",31,1992,https://www.oireachtas.ie/en/bills/bill/1992/31/
2204,"Finance (No. 2) Act, 1992",30,1992,https://www.oireachtas.ie/en/bills/bill/1992/30/
2205,"Financial Transfers Act, 1992",29,1992,https://www.oireachtas.ie/en/bills/bill/1992/29/
2206,"European Communities (Amendment) Act, 1992",28,1992,https://www.oireachtas.ie/en/bills/bill/1992/28/
2207,"Referendum (Amendment)(No. 2) Act, 1992",27,1992,https://www.oireachtas.ie/en/bills/bill/1992/27/
2208,"Fourteenth Amendment of the Constitution Act, 1992",26,1992,https://www.oireachtas.ie/en/bills/bill/1992/26/
2209,"Thirteenth Amendment of the Constitution Act, 1992",25,1992,https://www.oireachtas.ie/en/bills/bill/1992/25/
2210,"Twelfth Amendment of the Constitution Bill, 1992",24,1992,https://www.oireachtas.ie/en/bills/bill/1992/24/
2211,"Suicide Bill, 1992",23,1992,https://www.oireachtas.ie/en/bills/bill/1992/23/
2212,"Criminal Justice Bill, 1992",22,1992,https://www.oireachtas.ie/en/bills/bill/1992/22/
2213,"Wildlife Bill, 1992",21,1992,https://www.oireachtas.ie/en/bills/bill/1992/21/
2214,"Comptroller and Auditor General (Amendment) Act, 1993",20,1992,https://www.oireachtas.ie/en/bills/bill/1992/20/
2215,"Criminal Justice (Community Service)(Amendment) Bill, 1992",19,1992,https://www.oireachtas.ie/en/bills/bill/1992/19/
2216,"Foreshore (Amendment) Act, 1992",18,1992,https://www.oireachtas.ie/en/bills/bill/1992/18/
2217,"Health (Family Planning)(Amendment) Act, 1992",17,1992,https://www.oireachtas.ie/en/bills/bill/1992/17/
2218,"ICC Bank Act, 1992",16,1992,https://www.oireachtas.ie/en/bills/bill/1992/16/
2219,"Local Authorities (Higher Education Grants) Act, 1992",15,1992,https://www.oireachtas.ie/en/bills/bill/1992/15/
2220,"Fishery Harbour Centres (Amendment) Act, 1992",14,1992,https://www.oireachtas.ie/en/bills/bill/1992/14/
2221,"Referendum (Amendment) Act, 1992",13,1992,https://www.oireachtas.ie/en/bills/bill/1992/13/
2222,"Eleventh Amendment of the Constitution Act, 1992",12,1992,https://www.oireachtas.ie/en/bills/bill/1992/12/
2223,"Eleventh Amendment of the Constitution Bill, 1992",11,1992,https://www.oireachtas.ie/en/bills/bill/1992/11/
2224,"Financial Transactions of Certain Companies and Other Bodies Act, 1992",10,1992,https://www.oireachtas.ie/en/bills/bill/1992/10/
2225,"Mental Treatment (Amendment) Bill, 1992",/9,/199,https://www.oireachtas.ie/en/bills/bill/1992/9/
2226,"Finance Act, 1992",/8,/199,https://www.oireachtas.ie/en/bills/bill/1992/8/
2227,"Censorship of Films (Amendment) Act, 1992",/7,/199,https://www.oireachtas.ie/en/bills/bill/1992/7/
2228,"Interception of Postal Packets and Telecommunications Messages (Regulation) Act, 1993",/6,/199,https://www.oireachtas.ie/en/bills/bill/1992/6/
2229,"Housing (Miscellaneous Provisions) Act, 1992",/5,/199,https://www.oireachtas.ie/en/bills/bill/1992/5/
2230,"Social Welfare Act, 1992",/4,/199,https://www.oireachtas.ie/en/bills/bill/1992/4/
2231,"ACC Bank Act, 1992",/3,/199,https://www.oireachtas.ie/en/bills/bill/1992/3/
2232,"Eleventh Amendment of the Constitution Bill, 1992",/2,/199,https://www.oireachtas.ie/en/bills/bill/1992/2/
2233,"Criminal Evidence Act, 1992",/1,/199,https://www.oireachtas.ie/en/bills/bill/1992/1/
2234,"Electoral Act, 1992",44,1991,https://www.oireachtas.ie/en/bills/bill/1991/44/
2235,"Oireachtas (Allowances to Members) and Ministerial and Parliamentary Offices (Amendment) Act, 1992",42,1991,https://www.oireachtas.ie/en/bills/bill/1991/42/
2236,"Merchant Shipping Act, 1992",38,1991,https://www.oireachtas.ie/en/bills/bill/1991/38/
2237,"Land Bond Act, 1992",37,1991,https://www.oireachtas.ie/en/bills/bill/1991/37/
2238,"Local Government (Planning and Development) Act, 1992",33,1991,https://www.oireachtas.ie/en/bills/bill/1991/33/
2239,"Control of Dogs (Amendment) Act, 1992",32,1991,https://www.oireachtas.ie/en/bills/bill/1991/32/
2240,"Patents Act, 1992",27,1991,https://www.oireachtas.ie/en/bills/bill/1991/27/
2241,"Regional Technical Colleges Act, 1992",23,1991,https://www.oireachtas.ie/en/bills/bill/1991/23/
2242,"Dublin Institute of Technology Act, 1992",22,1991,https://www.oireachtas.ie/en/bills/bill/1991/22/
2243,"Environmental Protection Agency Act, 1992",46,1990,https://www.oireachtas.ie/en/bills/bill/1990/46/
2244,Limerick Markets Act  1992 [Private],P1,1990,https://www.oireachtas.ie/en/bills/bill/1990/P1/
2245,"Irish Land Commission (Dissolution) Act, 1992",11,1989,https://www.oireachtas.ie/en/bills/bill/1989/11/
2246,"Health (Amendment) Act, 1994",62,1993,https://www.oireachtas.ie/en/bills/bill/1993/62/
2247,"Oireachtas (Allowances to Members)(Amendment) Act, 1994",61,1993,https://www.oireachtas.ie/en/bills/bill/1993/61/
2248,"Appropriation Act, 1993",60,1993,https://www.oireachtas.ie/en/bills/bill/1993/60/
2249,"Air Companies (Amendment) Act, 1993",59,1993,https://www.oireachtas.ie/en/bills/bill/1993/59/
2250,"Terms of Employment (Information) Act, 1994",58,1993,https://www.oireachtas.ie/en/bills/bill/1993/58/
2251,"Irish Film Board (Amendment) Act, 1993",57,1993,https://www.oireachtas.ie/en/bills/bill/1993/57/
2252,"Criminal Justice Act, 1994",56,1993,https://www.oireachtas.ie/en/bills/bill/1993/56/
2253,"Interpretation (Amendment) Act, 1993",55,1993,https://www.oireachtas.ie/en/bills/bill/1993/55/
2254,"Landlord and Tenant (Amendment) Act, 1994",54,1993,https://www.oireachtas.ie/en/bills/bill/1993/54/
2255,"Industrial Training (Apprenticeship Levy) Act, 1994",53,1993,https://www.oireachtas.ie/en/bills/bill/1993/53/
2256,"National Monuments (Amendment) Act, 1994",52,1993,https://www.oireachtas.ie/en/bills/bill/1993/52/
2257,"Social Welfare (No. 2) Act, 1993",51,1993,https://www.oireachtas.ie/en/bills/bill/1993/51/
2258,Greyhound Industry (Amendment) Act  1993,50,1993,https://www.oireachtas.ie/en/bills/bill/1993/50/
2259,"Merchant Shipping (Salvage and Wreck) Act, 1993",49,1993,https://www.oireachtas.ie/en/bills/bill/1993/49/
2260,"Adoptive Leave Act, 1995",48,1993,https://www.oireachtas.ie/en/bills/bill/1993/48/
2261,"Diplomatic and Consular Officers (Provision of Services) Act, 1993",47,1993,https://www.oireachtas.ie/en/bills/bill/1993/47/
2262,"Local Government (Dublin) Act, 1993",46,1993,https://www.oireachtas.ie/en/bills/bill/1993/46/
2263,"European Parliament Elections Act, 1993",45,1993,https://www.oireachtas.ie/en/bills/bill/1993/45/
2264,"Telecommunications Bill, 1993",44,1993,https://www.oireachtas.ie/en/bills/bill/1993/44/
2265,"Telecommunications (Users Council) Bill, 1993",43,1993,https://www.oireachtas.ie/en/bills/bill/1993/43/
2266,"International Development Association (Amendment) Act, 1993",42,1993,https://www.oireachtas.ie/en/bills/bill/1993/42/
2267,"Criminal Procedure Act, 1993",41,1993,https://www.oireachtas.ie/en/bills/bill/1993/41/
2268,"National Bureau of Crime Statistics Bill, 1993",40,1993,https://www.oireachtas.ie/en/bills/bill/1993/40/
2269,"Refugee Protection (No. 2) Bill, 1993",39,1993,https://www.oireachtas.ie/en/bills/bill/1993/39/
2270,"Social Welfare (Consolidation) Act, 1993",38,1993,https://www.oireachtas.ie/en/bills/bill/1993/38/
2271,"Medical Practitioners (Amendment) Act, 1993",37,1993,https://www.oireachtas.ie/en/bills/bill/1993/37/
2272,"Criminal Justice (Public Order) Act, 1994",36,1993,https://www.oireachtas.ie/en/bills/bill/1993/36/
2273,"Waiver of Certain Tax, Interest and Penalties Act, 1993",35,1993,https://www.oireachtas.ie/en/bills/bill/1993/35/
2274,"Road Traffic Act, 1994",34,1993,https://www.oireachtas.ie/en/bills/bill/1993/34/
2275,"Irish Aviation Authority Act, 1993",33,1993,https://www.oireachtas.ie/en/bills/bill/1993/33/
2276,"Matrimonial Home Bill, 1993",32,1993,https://www.oireachtas.ie/en/bills/bill/1993/32/
2277,"Electoral (Amendment) Bill, 1993",31,1993,https://www.oireachtas.ie/en/bills/bill/1993/31/
2278,"European Communities (Amendment) Act, 1993",30,1993,https://www.oireachtas.ie/en/bills/bill/1993/30/
2279,"Criminal Law (Sexual Offences) Act, 1993",29,1993,https://www.oireachtas.ie/en/bills/bill/1993/29/
2280,"Defence (Amendment) Act, 1993",28,1993,https://www.oireachtas.ie/en/bills/bill/1993/28/
2281,"Industrial Development Act, 1993",27,1993,https://www.oireachtas.ie/en/bills/bill/1993/27/
2282,"Statistics Act, 1993",26,1993,https://www.oireachtas.ie/en/bills/bill/1993/26/
2283,"Presidential Elections Act, 1993",25,1993,https://www.oireachtas.ie/en/bills/bill/1993/25/
2284,"Local Government (Planning and Development) Act, 1993",24,1993,https://www.oireachtas.ie/en/bills/bill/1993/24/
2285,"Health (Family Planning)(Amendment) Act, 1993",23,1993,https://www.oireachtas.ie/en/bills/bill/1993/23/
2286,"Criminal Law (Suicide) Act, 1993",22,1993,https://www.oireachtas.ie/en/bills/bill/1993/22/
2287,"Building Societies Bill, 1993",21,1993,https://www.oireachtas.ie/en/bills/bill/1993/21/
2288,"Criminal Law (Suicide) Bill, 1993",20,1993,https://www.oireachtas.ie/en/bills/bill/1993/20/
2289,"Protection of Occupiers of Land Bill, 1993",19,1993,https://www.oireachtas.ie/en/bills/bill/1993/19/
2290,"Broadcasting Authority (Amendment) Act, 1993",18,1993,https://www.oireachtas.ie/en/bills/bill/1993/18/
2291,"Animal Remedies Act, 1993",17,1993,https://www.oireachtas.ie/en/bills/bill/1993/17/
2292,"Jurisdiction of Courts and Enforcement of Judgments Act, 1993",16,1993,https://www.oireachtas.ie/en/bills/bill/1993/16/
2293,"Finance Act, 1993",15,1993,https://www.oireachtas.ie/en/bills/bill/1993/15/
2294,"Suicide Bill, 1993",14,1993,https://www.oireachtas.ie/en/bills/bill/1993/14/
2295,"Refugee Protection Bill, 1993",13,1993,https://www.oireachtas.ie/en/bills/bill/1993/13/
2296,"Trade Marks Bill, 1993",12,1993,https://www.oireachtas.ie/en/bills/bill/1993/12/
2297,"Social Welfare Act, 1993",11,1993,https://www.oireachtas.ie/en/bills/bill/1993/11/
2298,"Unfair Dismissals (Amendment) Act, 1993",10,1993,https://www.oireachtas.ie/en/bills/bill/1993/10/
2299,"Wildlife Bill, 1993",/9,/199,https://www.oireachtas.ie/en/bills/bill/1993/9/
2300,"Punishment of Incest (Amendment) Bill, 1993",/8,/199,https://www.oireachtas.ie/en/bills/bill/1993/8/
2301,"Criminal Justice (No. 2) Bill, 1993",/7,/199,https://www.oireachtas.ie/en/bills/bill/1993/7/
2302,"Criminal Justice Act, 1993",/6,/199,https://www.oireachtas.ie/en/bills/bill/1993/6/
2303,"Gas (Amendment) Act, 1993",/5,/199,https://www.oireachtas.ie/en/bills/bill/1993/5/
2304,"State Authorities (Development and Management) Act, 1993",/4,/199,https://www.oireachtas.ie/en/bills/bill/1993/4/
2305,"Nítrigin Éireann Teoranta Act, 1993",/3,/199,https://www.oireachtas.ie/en/bills/bill/1993/3/
2306,"Údarás na Gaeltachta (Amendment) Act, 1993",/2,/199,https://www.oireachtas.ie/en/bills/bill/1993/2/
2307,"National Stud (Amendment) Act, 1993",/1,/199,https://www.oireachtas.ie/en/bills/bill/1993/1/
2308,"Comptroller and Auditor General (Amendment) Act, 1993",20,1992,https://www.oireachtas.ie/en/bills/bill/1992/20/
2309,"Interception of Postal Packets and Telecommunications Messages (Regulation) Act, 1993",/6,/199,https://www.oireachtas.ie/en/bills/bill/1992/6/
2310,"Roads Act, 1993",12,1991,https://www.oireachtas.ie/en/bills/bill/1991/12/
2311,"The Altamont (Amendment of Deed of Trust) Act, 1993 [Private]",P2,1990,https://www.oireachtas.ie/en/bills/bill/1990/P2/
2312,"Select Committee on Legislation and Security of Dáil Éireann (Privilege and Immunity) Act, 1994",46,1994,https://www.oireachtas.ie/en/bills/bill/1994/46/
2313,"Appropriation Act, 1994",45,1994,https://www.oireachtas.ie/en/bills/bill/1994/45/
2314,"Committees of the Houses of the Oireachtas (Privilege and Procedure) (Amendment) Bill, 1994",44,1994,https://www.oireachtas.ie/en/bills/bill/1994/44/
2315,"Regional Technical Colleges (Amendment)(No. 2) Bill, 1994",43,1994,https://www.oireachtas.ie/en/bills/bill/1994/43/
2316,Irish Nationality and Citizenship (Amendment) Bill 1994,42,1994,https://www.oireachtas.ie/en/bills/bill/1994/42/
2317,"Courts and Court Officers Bill, 1994",41,1994,https://www.oireachtas.ie/en/bills/bill/1994/41/
2318,"Maternity Protection Act, 1994",40,1994,https://www.oireachtas.ie/en/bills/bill/1994/40/
2319,"ACC Bank Act, 1994",39,1994,https://www.oireachtas.ie/en/bills/bill/1994/39/
2320,"Dublin Institute of Technology (Amendment) Act, 1994",38,1994,https://www.oireachtas.ie/en/bills/bill/1994/38/
2321,"Regional Technical Colleges (Amendment) Act, 1994",37,1994,https://www.oireachtas.ie/en/bills/bill/1994/37/
2322,"Occupiers' Liability Act, 1995",36,1994,https://www.oireachtas.ie/en/bills/bill/1994/36/
2323,"Stock Exchange Act, 1995",35,1994,https://www.oireachtas.ie/en/bills/bill/1994/35/
2324,"European Communities (Amendment) Act, 1994",34,1994,https://www.oireachtas.ie/en/bills/bill/1994/34/
2325,Electoral Act  1997,33,1994,https://www.oireachtas.ie/en/bills/bill/1994/33/
2326,"Refugee Bill, 1994",32,1994,https://www.oireachtas.ie/en/bills/bill/1994/32/
2327,"Landlord and Tenant (Ground Rents) Bill, 1994",31,1994,https://www.oireachtas.ie/en/bills/bill/1994/31/
2328,"Milk (Regulation of Supply) Act, 1994",30,1994,https://www.oireachtas.ie/en/bills/bill/1994/30/
2329,"Protection of Occupiers of Land (No. 2) Bill, 1994",29,1994,https://www.oireachtas.ie/en/bills/bill/1994/29/
2330,"Dún Laoghaire Harbour Act, 1994",28,1994,https://www.oireachtas.ie/en/bills/bill/1994/28/
2331,"Investment Limited Partnerships Act, 1994",27,1994,https://www.oireachtas.ie/en/bills/bill/1994/27/
2332,"Heritage Act, 1995",26,1994,https://www.oireachtas.ie/en/bills/bill/1994/26/
2333,"Competition (Amendment) Act, 1996",25,1994,https://www.oireachtas.ie/en/bills/bill/1994/25/
2334,"Criminal Justice Bill, 1994",24,1994,https://www.oireachtas.ie/en/bills/bill/1994/24/
2335,"Health Insurance Act, 1994",23,1994,https://www.oireachtas.ie/en/bills/bill/1994/23/
2336,"Maintenance Act, 1994",22,1994,https://www.oireachtas.ie/en/bills/bill/1994/22/
2337,"Refugee Protection Bill, 1994",21,1994,https://www.oireachtas.ie/en/bills/bill/1994/21/
2338,"Ethics in Public Office Act, 1995",20,1994,https://www.oireachtas.ie/en/bills/bill/1994/20/
2339,"Trade and Marketing Promotion (Amendment) Act, 1994",19,1994,https://www.oireachtas.ie/en/bills/bill/1994/19/
2340,"Protection of Occupiers of Land Bill, 1994",18,1994,https://www.oireachtas.ie/en/bills/bill/1994/18/
2341,"An Bord Bia Act, 1994",17,1994,https://www.oireachtas.ie/en/bills/bill/1994/17/
2342,"Irish Shipping Limited (Payments to Former Employees) Act, 1994",16,1994,https://www.oireachtas.ie/en/bills/bill/1994/16/
2343,"Local Government Act, 1994",15,1994,https://www.oireachtas.ie/en/bills/bill/1994/15/
2344,"Fisheries (Amendment) Act, 1994",14,1994,https://www.oireachtas.ie/en/bills/bill/1994/14/
2345,"Finance Act, 1994",13,1994,https://www.oireachtas.ie/en/bills/bill/1994/13/
2346,"Family Law (Property) Bill, 1994",12,1994,https://www.oireachtas.ie/en/bills/bill/1994/12/
2347,"Irish Nationality and Citizenship Act, 1994",11,1994,https://www.oireachtas.ie/en/bills/bill/1994/11/
2348,"Referendum Act, 1994",10,1994,https://www.oireachtas.ie/en/bills/bill/1994/10/
2349,"Irish Horseracing Industry Act, 1994",/9,/199,https://www.oireachtas.ie/en/bills/bill/1994/9/
2350,"Social Welfare Act, 1994",/8,/199,https://www.oireachtas.ie/en/bills/bill/1994/8/
2351,"Family Law Act, 1995",/7,/199,https://www.oireachtas.ie/en/bills/bill/1994/7/
2352,"Solicitors (Amendment) Act, 1994",/6,/199,https://www.oireachtas.ie/en/bills/bill/1994/6/
2353,"Local Government (Amendment) Bill, 1994",/5,/199,https://www.oireachtas.ie/en/bills/bill/1994/5/
2354,"Casual Trading Act, 1995",/4,/199,https://www.oireachtas.ie/en/bills/bill/1994/4/
2355,"Extradition (Amendment) Act, 1994",/3,/199,https://www.oireachtas.ie/en/bills/bill/1994/3/
2356,"Stillbirths Registration Act, 1994",/2,/199,https://www.oireachtas.ie/en/bills/bill/1994/2/
2357,"Consumer Credit Act, 1995",/1,/199,https://www.oireachtas.ie/en/bills/bill/1994/1/
2358,"Health (Amendment) Act, 1994",62,1993,https://www.oireachtas.ie/en/bills/bill/1993/62/
2359,"Oireachtas (Allowances to Members)(Amendment) Act, 1994",61,1993,https://www.oireachtas.ie/en/bills/bill/1993/61/
2360,"Terms of Employment (Information) Act, 1994",58,1993,https://www.oireachtas.ie/en/bills/bill/1993/58/
2361,"Criminal Justice Act, 1994",56,1993,https://www.oireachtas.ie/en/bills/bill/1993/56/
2362,"Landlord and Tenant (Amendment) Act, 1994",54,1993,https://www.oireachtas.ie/en/bills/bill/1993/54/
2363,"Industrial Training (Apprenticeship Levy) Act, 1994",53,1993,https://www.oireachtas.ie/en/bills/bill/1993/53/
2364,"National Monuments (Amendment) Act, 1994",52,1993,https://www.oireachtas.ie/en/bills/bill/1993/52/
2365,"Criminal Justice (Public Order) Act, 1994",36,1993,https://www.oireachtas.ie/en/bills/bill/1993/36/
2366,"Road Traffic Act, 1994",34,1993,https://www.oireachtas.ie/en/bills/bill/1993/34/
2367,"Health (Amendment) Act, 1996",60,1995,https://www.oireachtas.ie/en/bills/bill/1995/60/
2368,"Commissioners of Public Works (Functions and Powers) Act, 1996",59,1995,https://www.oireachtas.ie/en/bills/bill/1995/59/
2369,"Appropriation Act, 1995",58,1995,https://www.oireachtas.ie/en/bills/bill/1995/58/
2370,"Social Welfare (Charter of Rights) Bill, 1995",57,1995,https://www.oireachtas.ie/en/bills/bill/1995/57/
2371,"Pensions (Amendment) Act, 1996",56,1995,https://www.oireachtas.ie/en/bills/bill/1995/56/
2372,"Intoxicating Liquor Act, 1995",55,1995,https://www.oireachtas.ie/en/bills/bill/1995/55/
2373,"Milk (Regulation of Supply)(Amendment) Act, 1995",54,1995,https://www.oireachtas.ie/en/bills/bill/1995/54/
2374,"Trade Marks Act, 1996",53,1995,https://www.oireachtas.ie/en/bills/bill/1995/53/
2375,"Child Sex Tours Bill, 1995",52,1995,https://www.oireachtas.ie/en/bills/bill/1995/52/
2376,"Courts and Court Officers Act, 1995",51,1995,https://www.oireachtas.ie/en/bills/bill/1995/51/
2377,"Bovine Diseases (Levies)(Amendment) Act, 1996",50,1995,https://www.oireachtas.ie/en/bills/bill/1995/50/
2378,"Securitisation (Proceeds of Certain Mortgages) Bill, 1995 Act, 1995",49,1995,https://www.oireachtas.ie/en/bills/bill/1995/49/
2379,"Voluntary Health Insurance (Amendment) Act, 1996",48,1995,https://www.oireachtas.ie/en/bills/bill/1995/48/
2380,"Social Welfare (Supplementary Welfare Allowance Appeals) Bill, 1995",47,1995,https://www.oireachtas.ie/en/bills/bill/1995/47/
2381,"Dumping at Sea Act, 1996",46,1995,https://www.oireachtas.ie/en/bills/bill/1995/46/
2382,"Committees of the Houses of the Oireachtas (Compellability, Privileges and Immunities of Witnesses) Act  1997",45,1995,https://www.oireachtas.ie/en/bills/bill/1995/45/
2383,"Refugee Act, 1996",44,1995,https://www.oireachtas.ie/en/bills/bill/1995/44/
2384,"Fifteenth Amendment of the Constitution Act, 1995",43,1995,https://www.oireachtas.ie/en/bills/bill/1995/43/
